date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_total_deaths_mean
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,3,3,,
2020-03-19,0,3,,
2020-03-20,0,3,,
2020-03-21,0,3,,
2020-03-22,1,4,,
2020-03-23,1,5,,
2020-03-24,3,8,,
2020-03-25,0,8,,
2020-03-26,3,11,,
2020-03-27,1,12,,
2020-03-28,1,13,,
2020-03-29,0,13,,
2020-03-30,3,16,,
2020-03-31,2,18,,
2020-04-01,0,18,,
2020-04-02,,,5,23
2020-04-03,,,5,28
2020-04-04,,,5,33
2020-04-05,,,6,39
2020-04-06,,,6,45
2020-04-07,,,6,51
2020-04-08,,,5,56
2020-04-09,,,5,61
2020-04-10,,,5,66
2020-04-11,,,5,71
2020-04-12,,,4,75
2020-04-13,,,4,79
2020-04-14,,,3,82
2020-04-15,,,3,85
2020-04-16,,,3,88
2020-04-17,,,3,91
2020-04-18,,,2,93
2020-04-19,,,2,95
2020-04-20,,,2,97
2020-04-21,,,2,99
2020-04-22,,,2,101
2020-04-23,,,1,102
2020-04-24,,,1,103
2020-04-25,,,1,104
2020-04-26,,,1,105
2020-04-27,,,1,106
2020-04-28,,,1,107
2020-04-29,,,1,108
2020-04-30,,,1,109
2020-05-01,,,1,110
2020-05-02,,,1,111
2020-05-03,,,1,112
2020-05-04,,,1,113
2020-05-05,,,1,114
2020-05-06,,,1,115
2020-05-07,,,1,116
2020-05-08,,,1,117
2020-05-09,,,1,118
2020-05-10,,,1,119
2020-05-11,,,1,120
2020-05-12,,,1,121
2020-05-13,,,1,122
2020-05-14,,,1,123
2020-05-15,,,1,124
2020-05-16,,,1,125
2020-05-17,,,1,126
2020-05-18,,,1,127
2020-05-19,,,1,128
2020-05-20,,,1,129
2020-05-21,,,1,130
2020-05-22,,,1,131
2020-05-23,,,1,132
2020-05-24,,,0,132
2020-05-25,,,0,132
2020-05-26,,,0,132
2020-05-27,,,0,132
2020-05-28,,,0,132
2020-05-29,,,0,132
2020-05-30,,,0,132
2020-05-31,,,0,132
2020-06-01,,,0,132
2020-06-02,,,0,132
2020-06-03,,,0,132
2020-06-04,,,0,132
2020-06-05,,,0,132
2020-06-06,,,0,132
2020-06-07,,,0,132
2020-06-08,,,0,132
2020-06-09,,,0,132
2020-06-10,,,0,132
2020-06-11,,,0,132
2020-06-12,,,0,132
2020-06-13,,,0,132
2020-06-14,,,0,132
2020-06-15,,,0,132
2020-06-16,,,0,132
2020-06-17,,,0,132
2020-06-18,,,0,132
2020-06-19,,,0,132
2020-06-20,,,0,132
2020-06-21,,,0,132
2020-06-22,,,0,132
2020-06-23,,,0,132
2020-06-24,,,0,132
2020-06-25,,,0,132
2020-06-26,,,0,132
2020-06-27,,,0,132
2020-06-28,,,0,132
2020-06-29,,,0,132
2020-06-30,,,0,132
