date,actual_deaths,predicted_deaths
2020-03-03,,0
2020-03-04,,0
2020-03-05,,0
2020-03-06,,0
2020-03-07,,0
2020-03-08,,0
2020-03-09,,0
2020-03-10,,0
2020-03-11,,0
2020-03-12,,0
2020-03-13,,0
2020-03-14,,0
2020-03-15,,0
2020-03-16,,0
2020-03-17,,0
2020-03-18,,0
2020-03-19,,0
2020-03-20,,0
2020-03-21,,0
2020-03-22,,0
2020-03-23,,0
2020-03-24,,0
2020-03-25,,1
2020-03-26,,1
2020-03-27,,1
2020-03-28,,2
2020-03-29,3,2
2020-03-30,1,2
2020-03-31,4,2
2020-04-01,2,2
2020-04-02,,2
2020-04-03,,3
2020-04-04,,3
2020-04-05,,3
2020-04-06,,4
2020-04-07,,4
2020-04-08,,4
2020-04-09,,4
2020-04-10,,4
2020-04-11,,4
2020-04-12,,4
2020-04-13,,4
2020-04-14,,4
2020-04-15,,3
2020-04-16,,3
2020-04-17,,3
2020-04-18,,3
2020-04-19,,3
2020-04-20,,3
2020-04-21,,3
2020-04-22,,3
2020-04-23,,3
2020-04-24,,3
2020-04-25,,3
2020-04-26,,3
2020-04-27,,3
2020-04-28,,3
2020-04-29,,2
2020-04-30,,2
2020-05-01,,2
2020-05-02,,2
2020-05-03,,2
2020-05-04,,2
2020-05-05,,2
2020-05-06,,2
2020-05-07,,2
2020-05-08,,2
2020-05-09,,2
2020-05-10,,2
2020-05-11,,2
2020-05-12,,2
2020-05-13,,2
2020-05-14,,2
2020-05-15,,2
2020-05-16,,2
2020-05-17,,2
2020-05-18,,2
2020-05-19,,2
2020-05-20,,2
2020-05-21,,2
2020-05-22,,2
2020-05-23,,2
2020-05-24,,2
2020-05-25,,2
2020-05-26,,2
2020-05-27,,2
2020-05-28,,2
2020-05-29,,1
2020-05-30,,1
2020-05-31,,1
2020-06-01,,1
2020-06-02,,1
2020-06-03,,1
2020-06-04,,1
2020-06-05,,1
2020-06-06,,1
2020-06-07,,1
2020-06-08,,1
2020-06-09,,1
2020-06-10,,1
2020-06-11,,1
2020-06-12,,1
2020-06-13,,1
2020-06-14,,1
2020-06-15,,1
2020-06-16,,1
2020-06-17,,1
2020-06-18,,1
2020-06-19,,1
2020-06-20,,1
2020-06-21,,1
2020-06-22,,1
2020-06-23,,1
2020-06-24,,1
2020-06-25,,1
2020-06-26,,1
2020-06-27,,1
2020-06-28,,0
2020-06-29,,0
2020-06-30,,0
