country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.29,0.80,2020-03-13,1.02,2020-06-03
Argentina,1.23,1.06,2020-03-16,1.06,2020-06-03
Australia,1.11,0.71,2020-03-23,0.82,2020-06-03
Austria,1.81,0.70,2020-03-14,0.87,2020-06-03
Bangladesh,1.31,1.13,2020-03-28,1.14,2020-06-03
Belarus,1.20,0.97,2020-04-06,0.97,2020-06-03
Belgium,2.64,0.83,2020-03-18,0.98,2020-06-03
Bolivia,1.23,1.08,2020-04-05,1.10,2020-06-03
Brazil,1.41,1.06,2020-04-19,1.06,2020-06-03
Bulgaria,1.37,1.00,2020-03-11,1.08,2020-06-03
Canada,1.91,0.89,2020-03-28,1.02,2020-06-03
Chile,1.91,1.14,2020-03-21,1.15,2020-06-03
China,2.76,0.63,2020-01-20,0.72,2020-06-03
Colombia,1.90,1.13,2020-03-18,1.13,2020-06-03
Croatia,1.47,0.75,2020-03-20,0.91,2020-06-03
Cuba,1.08,0.64,2020-04-08,0.76,2020-06-03
Cyprus,1.23,0.36,2020-03-12,0.50,2020-06-03
Czechia,2.13,0.59,2020-03-14,0.76,2020-06-03
Denmark,2.10,0.75,2020-03-11,0.91,2020-06-03
Dominican Republic,2.27,0.87,2020-03-14,0.96,2020-06-03
Ecuador,1.48,0.87,2020-04-13,0.96,2020-06-03
Egypt,1.41,1.07,2020-03-20,1.10,2020-06-03
Estonia,2.27,0.38,2020-03-11,0.52,2020-06-03
Finland,1.87,0.75,2020-03-26,0.91,2020-06-03
France,1.71,0.81,2020-03-18,0.96,2020-06-03
Germany,2.18,0.82,2020-03-17,0.98,2020-06-03
Greece,1.45,0.70,2020-03-08,0.87,2020-06-03
Honduras,0.96,1.01,2020-04-06,1.06,2020-06-03
Hungary,1.82,0.87,2020-03-25,1.01,2020-06-03
Iceland,1.47,0.33,2020-03-21,0.47,2020-06-03
India,1.29,1.11,2020-04-20,1.14,2020-06-03
Indonesia,1.42,1.01,2020-03-15,1.01,2020-06-03
Iran,2.38,0.88,2020-02-25,1.02,2020-06-03
Ireland,1.60,0.71,2020-03-31,0.88,2020-06-03
Israel,2.33,0.68,2020-03-16,0.86,2020-06-03
Italy,2.70,0.92,2020-03-01,1.05,2020-06-03
Japan,1.23,0.90,2020-03-30,0.96,2020-06-03
Kuwait,1.44,1.04,2020-04-04,1.08,2020-06-03
Latvia,1.52,0.31,2020-03-12,0.43,2020-06-03
Lithuania,1.60,0.84,2020-03-12,0.99,2020-06-03
Luxembourg,1.75,0.67,2020-03-18,0.84,2020-06-03
Malaysia,1.90,0.53,2020-03-06,0.71,2020-06-03
Malta,1.53,0.65,2020-03-07,0.84,2020-06-03
Mexico,1.96,1.12,2020-04-01,1.13,2020-06-03
Moldova,1.31,1.02,2020-03-19,1.09,2020-06-03
Morocco,1.72,0.65,2020-03-14,0.77,2020-06-03
Netherlands,2.46,0.85,2020-03-11,1.00,2020-06-03
Nigeria,1.26,0.98,2020-04-14,1.08,2020-06-03
Norway,1.73,0.62,2020-03-17,0.80,2020-06-03
Pakistan,1.51,1.06,2020-04-09,1.09,2020-06-03
Panama,1.31,0.94,2020-03-19,1.06,2020-06-03
Peru,1.72,1.08,2020-04-05,1.08,2020-06-03
Philippines,1.64,0.88,2020-03-15,1.02,2020-06-03
Poland,1.66,0.92,2020-03-20,1.04,2020-06-03
Portugal,2.26,0.85,2020-03-11,0.99,2020-06-03
Romania,1.72,0.83,2020-03-15,0.98,2020-06-03
Russia,1.47,1.00,2020-04-19,1.09,2020-06-03
Saudi Arabia,1.70,1.05,2020-03-19,1.09,2020-06-03
Serbia,1.38,0.72,2020-03-24,0.90,2020-06-03
Slovakia,2.15,0.48,2020-03-28,0.64,2020-06-03
Slovenia,1.68,0.68,2020-03-20,0.85,2020-06-03
South Africa,1.80,1.14,2020-03-26,1.15,2020-06-03
South Korea,1.83,0.84,2020-02-22,0.95,2020-06-03
Spain,3.21,0.81,2020-03-06,0.96,2020-06-03
Sweden,1.87,0.93,2020-03-20,1.02,2020-06-03
Switzerland,2.11,0.75,2020-03-13,0.91,2020-06-03
Turkey,1.83,0.77,2020-03-23,0.88,2020-06-03
Ukraine,1.54,1.01,2020-03-24,1.09,2020-06-03
United Arab Emirates,1.24,0.86,2020-04-06,0.95,2020-06-03
United Kingdom,2.47,0.93,2020-03-15,0.94,2020-06-03
