country,initial_r_0,post_mitigation_r,inflection_date
Algeria,2.25,0.73,2020-03-14
Argentina,1.19,1.05,2020-03-20
Austria,1.97,0.71,2020-03-14
Bangladesh,1.26,1.10,2020-03-29
Belgium,2.52,0.82,2020-03-18
Brazil,1.41,1.11,2020-04-17
Bulgaria,0.80,0.96,2020-03-11
Canada,1.96,0.92,2020-03-26
Chile,1.63,1.13,2020-03-21
China,2.31,0.64,2020-01-24
Colombia,1.92,1.08,2020-03-20
Croatia,1.35,0.80,2020-03-20
Cyprus,1.08,0.43,2020-03-12
Czechia,2.16,0.59,2020-03-14
Denmark,2.11,0.76,2020-03-11
Dominican Republic,2.16,0.84,2020-03-16
Ecuador,1.48,0.89,2020-04-13
Egypt,1.40,1.02,2020-03-22
Estonia,2.12,0.45,2020-03-12
Finland,2.01,0.83,2020-03-23
France,1.70,0.81,2020-03-18
Germany,2.21,0.83,2020-03-17
Greece,1.75,0.68,2020-03-07
Hungary,1.84,0.85,2020-03-25
Iceland,1.39,0.43,2020-03-21
India,1.28,1.05,2020-04-20
Indonesia,1.48,0.95,2020-03-16
Iran,2.37,0.88,2020-02-25
Ireland,1.63,0.75,2020-03-30
Israel,2.34,0.67,2020-03-17
Italy,2.48,0.91,2020-03-01
Japan,1.34,0.82,2020-03-22
Latvia,1.58,0.48,2020-03-12
Lithuania,1.49,0.65,2020-03-12
Luxembourg,1.45,0.63,2020-03-16
Malaysia,0.90,0.46,2020-03-20
Malta,1.55,0.40,2020-03-07
Mexico,1.92,1.15,2020-04-01
Moldova,1.22,1.01,2020-03-21
Morocco,1.67,0.64,2020-03-15
Netherlands,2.44,0.87,2020-03-10
Nigeria,1.25,0.92,2020-04-16
Norway,1.72,0.64,2020-03-17
Pakistan,1.49,1.03,2020-04-09
Panama,1.30,0.90,2020-03-20
Peru,1.68,1.04,2020-04-07
Philippines,1.52,0.90,2020-03-15
Poland,1.69,0.93,2020-03-20
Portugal,2.37,0.82,2020-03-12
Romania,1.84,0.89,2020-03-15
Russia,1.44,0.99,2020-04-19
Saudi Arabia,1.52,1.05,2020-03-20
Serbia,1.24,0.77,2020-03-24
Slovakia,2.06,0.54,2020-03-28
Slovenia,1.45,0.66,2020-03-20
South Africa,1.42,1.17,2020-03-27
South Korea,1.82,0.81,2020-02-22
Spain,3.25,0.85,2020-03-05
Sweden,1.87,0.93,2020-03-20
Switzerland,2.14,0.78,2020-03-12
Turkey,1.68,0.75,2020-03-25
Ukraine,1.43,1.07,2020-03-24
United Kingdom,2.45,0.92,2020-03-15
