country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.58,0.77,2020-03-14,1.11,2020-07-17
Argentina,1.21,1.13,2020-03-17,1.07,2020-07-17
Australia,1.45,0.68,2020-03-23,1.02,2020-07-17
Austria,1.85,0.72,2020-03-15,1.02,2020-07-17
Bangladesh,1.72,1.07,2020-03-26,0.98,2020-07-17
Belarus,1.31,1.02,2020-04-06,1.01,2020-07-17
Belgium,2.60,0.80,2020-03-18,0.89,2020-07-17
Bolivia,1.42,1.13,2020-04-05,1.00,2020-07-17
Brazil,1.48,1.04,2020-04-20,1.00,2020-07-17
Bulgaria,1.54,1.03,2020-03-11,1.06,2020-07-17
Canada,1.92,0.88,2020-03-30,0.96,2020-07-17
Chile,1.40,0.91,2020-05-18,0.87,2020-07-17
China,2.98,0.66,2020-01-20,0.75,2020-07-17
Colombia,2.41,1.15,2020-03-19,1.01,2020-07-17
Croatia,1.43,0.80,2020-03-20,1.08,2020-07-17
Cuba,1.23,0.66,2020-04-08,0.93,2020-07-17
Cyprus,1.56,0.47,2020-03-12,0.87,2020-07-17
Czechia,2.20,0.60,2020-03-14,1.03,2020-07-17
Denmark,2.17,0.76,2020-03-11,0.90,2020-07-17
Dominican Republic,2.57,0.87,2020-03-15,1.08,2020-07-17
Ecuador,1.63,0.86,2020-04-11,0.97,2020-07-17
Egypt,1.69,1.08,2020-03-20,0.99,2020-07-17
Estonia,2.24,0.43,2020-03-11,0.71,2020-07-17
Finland,1.75,0.71,2020-03-29,0.90,2020-07-17
France,1.68,0.82,2020-03-18,0.87,2020-07-17
Germany,2.23,0.81,2020-03-18,0.89,2020-07-17
Greece,1.61,0.70,2020-03-08,0.90,2020-07-17
Honduras,1.25,1.02,2020-04-06,1.06,2020-07-17
Hungary,1.90,0.84,2020-03-25,0.96,2020-07-17
Iceland,1.42,0.47,2020-03-21,0.79,2020-07-17
India,1.36,1.10,2020-04-20,1.06,2020-07-17
Indonesia,1.54,1.04,2020-03-15,1.08,2020-07-17
Iran,2.43,0.89,2020-02-25,1.03,2020-07-17
Ireland,1.69,0.74,2020-03-31,0.90,2020-07-17
Israel,2.77,0.77,2020-03-17,1.11,2020-07-17
Italy,2.49,0.89,2020-03-02,0.92,2020-07-17
Japan,1.27,0.83,2020-04-02,1.07,2020-07-17
Kuwait,1.93,0.87,2020-04-16,1.01,2020-07-17
Latvia,1.35,0.54,2020-03-30,0.79,2020-07-17
Lithuania,1.95,0.78,2020-03-12,0.97,2020-07-17
Luxembourg,1.80,0.65,2020-03-18,1.07,2020-07-17
Malaysia,2.22,0.65,2020-03-08,0.80,2020-07-17
Malta,1.66,0.67,2020-03-20,0.94,2020-07-17
Mexico,2.24,1.08,2020-04-01,0.98,2020-07-17
Moldova,1.49,1.04,2020-03-16,0.96,2020-07-17
Morocco,2.39,0.71,2020-03-13,1.08,2020-07-17
Netherlands,2.43,0.83,2020-03-12,0.90,2020-07-17
Nigeria,1.49,0.95,2020-04-13,1.00,2020-07-17
Norway,1.72,0.64,2020-03-17,0.81,2020-07-17
Pakistan,1.69,1.02,2020-04-09,0.96,2020-07-17
Panama,1.38,1.02,2020-03-19,1.04,2020-07-17
Peru,2.05,1.05,2020-04-02,0.97,2020-07-17
Philippines,1.11,0.96,2020-03-15,1.08,2020-07-17
Poland,1.63,0.95,2020-03-20,1.00,2020-07-17
Portugal,2.18,0.83,2020-03-11,0.99,2020-07-17
Romania,1.77,0.87,2020-03-15,1.00,2020-07-17
Russia,1.61,0.96,2020-04-20,0.97,2020-07-17
Saudi Arabia,2.46,1.08,2020-03-24,0.99,2020-07-17
Serbia,1.67,0.84,2020-03-24,1.19,2020-07-17
Slovakia,1.55,0.62,2020-03-28,0.96,2020-07-17
Slovenia,1.78,0.69,2020-03-20,0.88,2020-07-17
South Africa,2.30,1.14,2020-03-26,1.07,2020-07-17
South Korea,2.16,0.87,2020-02-22,0.92,2020-07-17
Spain,3.25,0.85,2020-03-06,0.87,2020-07-17
Sweden,2.03,0.96,2020-03-18,0.88,2020-07-17
Switzerland,2.13,0.76,2020-03-13,0.93,2020-07-17
Turkey,2.63,0.77,2020-03-20,0.93,2020-07-17
Ukraine,1.59,1.04,2020-03-23,0.97,2020-07-17
United Arab Emirates,1.72,0.80,2020-04-05,1.01,2020-07-17
United Kingdom,2.69,0.94,2020-03-14,0.98,2020-07-17
United States,2.25,0.93,2020-03-18,1.03,2020-07-17
