country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.52,0.77,2020-03-14,1.02,2020-06-26
Argentina,1.30,1.10,2020-03-17,1.09,2020-06-26
Australia,1.28,0.72,2020-03-23,0.95,2020-06-26
Austria,1.83,0.72,2020-03-15,0.97,2020-06-26
Bangladesh,1.60,1.09,2020-03-28,1.09,2020-06-26
Belarus,1.22,0.99,2020-04-06,0.99,2020-06-26
Belgium,2.70,0.82,2020-03-18,0.90,2020-06-26
Bolivia,1.47,1.11,2020-04-04,1.09,2020-06-26
Brazil,1.49,1.05,2020-04-20,0.99,2020-06-26
Bulgaria,1.49,1.03,2020-03-11,1.10,2020-06-26
Canada,1.93,0.89,2020-03-28,1.00,2020-06-26
Chile,1.40,0.97,2020-05-17,0.91,2020-06-26
China,2.94,0.66,2020-01-20,0.77,2020-06-26
Colombia,2.13,1.14,2020-03-20,1.12,2020-06-26
Croatia,1.51,0.73,2020-03-20,0.94,2020-06-26
Cuba,1.25,0.66,2020-04-08,0.86,2020-06-26
Cyprus,1.33,0.47,2020-03-12,0.90,2020-06-26
Czechia,2.19,0.59,2020-03-14,1.03,2020-06-26
Denmark,2.17,0.75,2020-03-11,0.96,2020-06-26
Dominican Republic,2.49,0.89,2020-03-15,1.06,2020-06-26
Ecuador,1.61,0.87,2020-04-12,0.96,2020-06-26
Egypt,1.66,1.08,2020-03-20,1.08,2020-06-26
Estonia,2.31,0.44,2020-03-11,0.79,2020-06-26
Finland,1.77,0.72,2020-03-28,0.93,2020-06-26
France,1.71,0.82,2020-03-18,0.92,2020-06-26
Germany,2.18,0.81,2020-03-18,1.03,2020-06-26
Greece,1.56,0.70,2020-03-08,0.92,2020-06-26
Honduras,1.25,1.03,2020-04-06,1.09,2020-06-26
Hungary,1.86,0.85,2020-03-25,1.04,2020-06-26
Iceland,1.18,0.45,2020-03-21,0.80,2020-06-26
India,1.35,1.12,2020-04-20,1.12,2020-06-26
Indonesia,1.64,1.01,2020-03-15,1.03,2020-06-26
Iran,2.42,0.87,2020-02-25,1.02,2020-06-26
Ireland,1.62,0.73,2020-03-31,0.91,2020-06-26
Israel,2.53,0.75,2020-03-17,0.97,2020-06-26
Italy,2.67,0.93,2020-03-01,0.96,2020-06-26
Japan,1.28,0.83,2020-04-01,1.01,2020-06-26
Kuwait,1.71,0.87,2020-04-17,0.86,2020-06-26
Latvia,1.26,0.57,2020-03-30,0.93,2020-06-26
Lithuania,1.78,0.80,2020-03-12,1.01,2020-06-26
Luxembourg,1.85,0.66,2020-03-18,0.87,2020-06-26
Malaysia,2.10,0.52,2020-03-07,0.98,2020-06-26
Malta,1.57,0.57,2020-03-20,0.80,2020-06-26
Mexico,2.11,1.12,2020-04-01,1.06,2020-06-26
Moldova,1.43,1.05,2020-03-17,1.07,2020-06-26
Morocco,2.17,0.68,2020-03-14,0.87,2020-06-26
Netherlands,2.46,0.85,2020-03-11,0.98,2020-06-26
Nigeria,1.40,0.97,2020-04-13,1.06,2020-06-26
Norway,1.71,0.63,2020-03-17,0.85,2020-06-26
Pakistan,1.60,1.09,2020-04-09,1.10,2020-06-26
Panama,1.43,1.00,2020-03-19,1.07,2020-06-26
Peru,2.00,1.05,2020-04-03,1.02,2020-06-26
Philippines,1.13,0.95,2020-03-15,1.08,2020-06-26
Poland,1.55,0.98,2020-03-20,1.09,2020-06-26
Portugal,2.18,0.81,2020-03-11,1.00,2020-06-26
Romania,1.79,0.89,2020-03-15,1.06,2020-06-26
Russia,1.54,0.96,2020-04-20,1.01,2020-06-26
Saudi Arabia,2.25,1.07,2020-03-22,1.06,2020-06-26
Serbia,1.45,0.73,2020-03-24,0.96,2020-06-26
Slovakia,1.72,0.58,2020-03-28,0.92,2020-06-26
Slovenia,1.74,0.67,2020-03-20,0.88,2020-06-26
South Africa,2.17,1.13,2020-03-26,1.12,2020-06-26
South Korea,1.89,0.85,2020-02-22,0.99,2020-06-26
Spain,3.24,0.84,2020-03-06,0.95,2020-06-26
Sweden,1.92,0.94,2020-03-20,0.91,2020-06-26
Switzerland,2.11,0.76,2020-03-13,0.94,2020-06-26
Turkey,2.46,0.73,2020-03-21,1.05,2020-06-26
Ukraine,1.52,1.04,2020-03-23,1.07,2020-06-26
United Arab Emirates,1.55,0.79,2020-04-06,0.98,2020-06-26
United Kingdom,2.64,0.95,2020-03-14,0.90,2020-06-26
United States,2.27,0.92,2020-03-18,1.04,2020-06-26
