country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.52,0.77,2020-03-14,1.03,2020-06-28
Argentina,1.32,1.10,2020-03-17,1.09,2020-06-28
Australia,1.44,0.74,2020-03-23,0.97,2020-06-28
Austria,1.83,0.72,2020-03-15,0.98,2020-06-28
Bangladesh,1.60,1.09,2020-03-28,1.09,2020-06-28
Belarus,1.29,1.01,2020-04-06,1.00,2020-06-28
Belgium,2.55,0.80,2020-03-18,0.92,2020-06-28
Bolivia,1.46,1.11,2020-04-04,1.09,2020-06-28
Brazil,1.49,1.05,2020-04-20,0.99,2020-06-28
Bulgaria,1.49,1.02,2020-03-11,1.09,2020-06-28
Canada,1.92,0.89,2020-03-28,0.97,2020-06-28
Chile,1.40,0.98,2020-05-17,0.92,2020-06-28
China,2.94,0.66,2020-01-20,0.77,2020-06-28
Colombia,2.27,1.15,2020-03-22,1.12,2020-06-28
Croatia,1.51,0.73,2020-03-20,0.94,2020-06-28
Cuba,1.25,0.67,2020-04-08,0.87,2020-06-28
Cyprus,1.31,0.47,2020-03-12,0.91,2020-06-28
Czechia,2.19,0.58,2020-03-14,1.02,2020-06-28
Denmark,2.17,0.75,2020-03-11,0.96,2020-06-28
Dominican Republic,2.54,0.87,2020-03-15,1.14,2020-06-28
Ecuador,1.61,0.87,2020-04-12,0.97,2020-06-28
Egypt,1.66,1.09,2020-03-20,1.09,2020-06-28
Estonia,2.31,0.43,2020-03-11,0.79,2020-06-28
Finland,1.77,0.72,2020-03-28,0.93,2020-06-28
France,1.68,0.81,2020-03-18,0.93,2020-06-28
Germany,2.18,0.81,2020-03-18,1.03,2020-06-28
Greece,1.56,0.69,2020-03-08,0.91,2020-06-28
Honduras,1.23,1.03,2020-04-06,1.12,2020-06-28
Hungary,1.87,0.85,2020-03-25,1.04,2020-06-28
Iceland,1.40,0.47,2020-03-21,0.85,2020-06-28
India,1.36,1.11,2020-04-20,1.12,2020-06-28
Indonesia,1.64,1.01,2020-03-15,1.04,2020-06-28
Iran,2.42,0.87,2020-02-25,1.02,2020-06-28
Ireland,1.63,0.74,2020-03-31,0.91,2020-06-28
Israel,2.63,0.78,2020-03-18,1.01,2020-06-28
Italy,2.50,0.91,2020-03-02,0.96,2020-06-28
Japan,1.28,0.83,2020-04-01,1.02,2020-06-28
Kuwait,1.76,0.90,2020-04-17,0.88,2020-06-28
Latvia,1.28,0.56,2020-03-30,0.93,2020-06-28
Lithuania,1.78,0.80,2020-03-12,1.01,2020-06-28
Luxembourg,1.85,0.66,2020-03-18,0.87,2020-06-28
Malaysia,2.11,0.60,2020-03-07,1.07,2020-06-28
Malta,1.69,0.69,2020-03-20,0.97,2020-06-28
Mexico,2.12,1.11,2020-04-01,1.06,2020-06-28
Moldova,1.41,1.05,2020-03-17,1.05,2020-06-28
Morocco,2.21,0.71,2020-03-14,0.91,2020-06-28
Netherlands,2.46,0.85,2020-03-11,0.97,2020-06-28
Nigeria,1.49,0.95,2020-04-13,1.05,2020-06-28
Norway,1.71,0.63,2020-03-17,0.85,2020-06-28
Pakistan,1.62,1.08,2020-04-09,1.06,2020-06-28
Panama,1.49,0.98,2020-03-19,1.11,2020-06-28
Peru,2.00,1.05,2020-04-03,1.02,2020-06-28
Philippines,1.13,0.95,2020-03-15,1.08,2020-06-28
Poland,1.55,0.97,2020-03-20,1.08,2020-06-28
Portugal,2.18,0.82,2020-03-11,1.01,2020-06-28
Romania,1.78,0.89,2020-03-15,1.10,2020-06-28
Russia,1.61,0.95,2020-04-20,1.00,2020-06-28
Saudi Arabia,2.28,1.07,2020-03-22,1.06,2020-06-28
Serbia,1.58,0.77,2020-03-24,1.01,2020-06-28
Slovakia,1.77,0.59,2020-03-28,0.95,2020-06-28
Slovenia,1.74,0.68,2020-03-20,0.89,2020-06-28
South Africa,2.17,1.13,2020-03-26,1.12,2020-06-28
South Korea,2.05,0.86,2020-02-22,1.00,2020-06-28
Spain,3.24,0.84,2020-03-06,0.95,2020-06-28
Sweden,1.92,0.93,2020-03-20,0.91,2020-06-28
Switzerland,2.11,0.76,2020-03-13,0.94,2020-06-28
Turkey,2.50,0.75,2020-03-21,1.05,2020-06-28
Ukraine,1.52,1.04,2020-03-23,1.07,2020-06-28
United Arab Emirates,1.69,0.80,2020-04-05,0.99,2020-06-28
United Kingdom,2.63,0.93,2020-03-15,0.97,2020-06-28
United States,2.27,0.92,2020-03-18,1.04,2020-06-28
