country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.26,0.82,2020-03-13,1.04,2020-06-11
Argentina,1.14,1.10,2020-03-17,1.10,2020-06-11
Australia,1.11,0.70,2020-03-23,0.87,2020-06-11
Austria,1.82,0.70,2020-03-15,0.88,2020-06-11
Bangladesh,1.34,1.13,2020-03-28,1.15,2020-06-11
Belarus,1.20,0.98,2020-04-06,0.98,2020-06-11
Belgium,2.64,0.83,2020-03-18,0.99,2020-06-11
Bolivia,1.17,1.13,2020-04-05,1.14,2020-06-11
Brazil,1.41,1.06,2020-04-19,1.06,2020-06-11
Bulgaria,1.46,1.01,2020-03-11,1.09,2020-06-11
Canada,1.91,0.89,2020-03-28,1.03,2020-06-11
Chile,1.91,1.19,2020-03-21,1.17,2020-06-11
China,2.88,0.65,2020-01-20,0.73,2020-06-11
Colombia,1.89,1.14,2020-03-18,1.14,2020-06-11
Croatia,1.51,0.76,2020-03-20,0.93,2020-06-11
Cuba,1.08,0.64,2020-04-08,0.81,2020-06-11
Cyprus,1.31,0.35,2020-03-12,0.50,2020-06-11
Czechia,2.17,0.57,2020-03-14,0.75,2020-06-11
Denmark,2.09,0.75,2020-03-11,0.93,2020-06-11
Dominican Republic,2.26,0.88,2020-03-14,1.02,2020-06-11
Ecuador,1.49,0.87,2020-04-13,1.01,2020-06-11
Egypt,1.43,1.08,2020-03-20,1.09,2020-06-11
Estonia,2.31,0.37,2020-03-11,0.52,2020-06-11
Finland,1.78,0.73,2020-03-27,0.91,2020-06-11
France,1.71,0.81,2020-03-18,0.97,2020-06-11
Germany,2.18,0.81,2020-03-17,0.98,2020-06-11
Greece,1.48,0.70,2020-03-08,0.88,2020-06-11
Honduras,0.96,1.03,2020-04-06,1.09,2020-06-11
Hungary,1.82,0.85,2020-03-25,1.01,2020-06-11
Iceland,1.50,0.33,2020-03-21,0.47,2020-06-11
India,1.26,1.17,2020-04-20,1.17,2020-06-11
Indonesia,1.42,1.03,2020-03-15,1.04,2020-06-11
Iran,2.37,0.88,2020-02-25,1.01,2020-06-11
Ireland,1.60,0.73,2020-03-31,0.91,2020-06-11
Israel,2.36,0.68,2020-03-16,0.86,2020-06-11
Italy,2.58,0.89,2020-03-02,0.99,2020-06-11
Japan,1.26,0.84,2020-03-31,0.94,2020-06-11
Kuwait,1.44,1.03,2020-04-04,1.10,2020-06-11
Latvia,1.31,0.48,2020-03-30,0.65,2020-06-11
Lithuania,1.67,0.81,2020-03-12,0.97,2020-06-11
Luxembourg,1.74,0.67,2020-03-18,0.85,2020-06-11
Malaysia,1.91,0.49,2020-03-06,0.66,2020-06-11
Malta,1.33,0.64,2020-03-20,0.78,2020-06-11
Mexico,1.95,1.14,2020-04-01,1.14,2020-06-11
Moldova,1.35,1.03,2020-03-19,1.11,2020-06-11
Morocco,1.73,0.65,2020-03-14,0.83,2020-06-11
Netherlands,2.42,0.85,2020-03-11,1.01,2020-06-11
Nigeria,1.24,1.00,2020-04-13,1.09,2020-06-11
Norway,1.72,0.63,2020-03-17,0.81,2020-06-11
Pakistan,1.45,1.16,2020-04-09,1.17,2020-06-11
Panama,1.26,0.96,2020-03-19,1.08,2020-06-11
Peru,1.73,1.07,2020-04-05,1.12,2020-06-11
Philippines,1.58,0.90,2020-03-15,1.03,2020-06-11
Poland,1.58,0.95,2020-03-20,1.06,2020-06-11
Portugal,2.11,0.83,2020-03-11,0.99,2020-06-11
Romania,1.72,0.83,2020-03-15,0.98,2020-06-11
Russia,1.47,1.01,2020-04-20,1.06,2020-06-11
Saudi Arabia,1.72,1.10,2020-03-19,1.13,2020-06-11
Serbia,1.34,0.71,2020-03-24,0.89,2020-06-11
Slovakia,2.32,0.48,2020-03-28,0.65,2020-06-11
Slovenia,1.67,0.67,2020-03-20,0.85,2020-06-11
South Africa,1.80,1.19,2020-03-26,1.19,2020-06-11
South Korea,1.83,0.84,2020-02-22,0.94,2020-06-11
Spain,3.16,0.81,2020-03-06,0.97,2020-06-11
Sweden,1.89,0.91,2020-03-20,1.00,2020-06-11
Switzerland,2.07,0.75,2020-03-13,0.93,2020-06-11
Turkey,1.83,0.78,2020-03-22,0.94,2020-06-11
Ukraine,1.53,1.02,2020-03-24,1.10,2020-06-11
United Arab Emirates,1.21,0.85,2020-04-06,0.99,2020-06-11
United Kingdom,2.47,0.93,2020-03-15,0.95,2020-06-11
United States,2.27,0.91,2020-03-18,1.03,2020-06-11
