country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.45,0.77,2020-03-14,0.99,2020-06-21
Argentina,1.24,1.10,2020-03-16,1.10,2020-06-21
Australia,1.21,0.72,2020-03-23,0.91,2020-06-21
Austria,1.83,0.71,2020-03-15,0.91,2020-06-21
Bangladesh,1.45,1.12,2020-03-28,1.12,2020-06-21
Belarus,1.21,0.99,2020-04-06,0.99,2020-06-21
Belgium,2.69,0.82,2020-03-18,0.89,2020-06-21
Bolivia,1.28,1.11,2020-04-05,1.10,2020-06-21
Brazil,1.46,1.03,2020-04-20,0.98,2020-06-21
Bulgaria,1.48,1.03,2020-03-11,1.10,2020-06-21
Canada,1.93,0.90,2020-03-28,0.99,2020-06-21
Chile,1.98,1.19,2020-03-23,1.08,2020-06-21
China,2.94,0.66,2020-01-20,0.78,2020-06-21
Colombia,2.26,1.15,2020-03-21,1.13,2020-06-21
Croatia,1.51,0.73,2020-03-20,0.93,2020-06-21
Cuba,1.16,0.66,2020-04-08,0.82,2020-06-21
Cyprus,1.33,0.47,2020-03-12,0.88,2020-06-21
Czechia,2.20,0.56,2020-03-14,0.95,2020-06-21
Denmark,2.16,0.74,2020-03-11,0.94,2020-06-21
Dominican Republic,2.47,0.87,2020-03-14,1.03,2020-06-21
Ecuador,1.55,0.88,2020-04-12,0.95,2020-06-21
Egypt,1.57,1.09,2020-03-20,1.08,2020-06-21
Estonia,2.30,0.44,2020-03-11,0.78,2020-06-21
Finland,1.78,0.71,2020-03-28,0.91,2020-06-21
France,1.72,0.82,2020-03-18,0.91,2020-06-21
Germany,2.19,0.81,2020-03-18,1.00,2020-06-21
Greece,1.53,0.71,2020-03-08,0.91,2020-06-21
Honduras,1.13,1.01,2020-04-06,1.06,2020-06-21
Hungary,1.86,0.85,2020-03-25,1.02,2020-06-21
Iceland,1.18,0.44,2020-03-21,0.80,2020-06-21
India,1.28,1.17,2020-04-20,1.16,2020-06-21
Indonesia,1.54,1.03,2020-03-15,1.04,2020-06-21
Iran,2.41,0.88,2020-02-25,1.01,2020-06-21
Ireland,1.63,0.72,2020-03-31,0.89,2020-06-21
Israel,2.52,0.74,2020-03-17,0.96,2020-06-21
Italy,2.68,0.93,2020-03-01,0.95,2020-06-21
Japan,1.27,0.83,2020-04-01,0.98,2020-06-21
Kuwait,1.62,0.90,2020-04-17,0.89,2020-06-21
Latvia,1.23,0.61,2020-03-30,0.95,2020-06-21
Lithuania,1.77,0.80,2020-03-12,1.00,2020-06-21
Luxembourg,1.84,0.67,2020-03-18,0.86,2020-06-21
Malaysia,2.08,0.48,2020-03-07,0.91,2020-06-21
Malta,1.55,0.57,2020-03-20,0.79,2020-06-21
Mexico,2.13,1.09,2020-04-01,1.07,2020-06-21
Moldova,1.44,1.05,2020-03-17,1.08,2020-06-21
Morocco,2.08,0.66,2020-03-13,0.82,2020-06-21
Netherlands,2.46,0.82,2020-03-12,0.96,2020-06-21
Nigeria,1.28,1.02,2020-04-13,1.09,2020-06-21
Norway,1.72,0.62,2020-03-17,0.84,2020-06-21
Pakistan,1.48,1.15,2020-04-09,1.14,2020-06-21
Panama,1.41,0.97,2020-03-19,1.06,2020-06-21
Peru,1.90,1.06,2020-04-03,1.04,2020-06-21
Philippines,1.11,0.96,2020-03-15,1.05,2020-06-21
Poland,1.56,0.97,2020-03-20,1.08,2020-06-21
Portugal,2.17,0.81,2020-03-11,0.99,2020-06-21
Romania,1.77,0.88,2020-03-15,1.03,2020-06-21
Russia,1.47,0.99,2020-04-20,1.03,2020-06-21
Saudi Arabia,2.15,1.10,2020-03-20,1.09,2020-06-21
Serbia,1.46,0.72,2020-03-24,0.96,2020-06-21
Slovakia,1.72,0.57,2020-03-28,0.90,2020-06-21
Slovenia,1.75,0.67,2020-03-20,0.87,2020-06-21
South Africa,2.11,1.14,2020-03-26,1.13,2020-06-21
South Korea,1.89,0.85,2020-02-22,1.01,2020-06-21
Spain,3.24,0.84,2020-03-06,0.94,2020-06-21
Sweden,1.92,0.93,2020-03-20,0.91,2020-06-21
Switzerland,2.11,0.75,2020-03-13,0.92,2020-06-21
Turkey,2.16,0.77,2020-03-21,0.92,2020-06-21
Ukraine,1.54,1.03,2020-03-24,1.08,2020-06-21
United Arab Emirates,1.47,0.80,2020-04-06,0.95,2020-06-21
United Kingdom,2.62,0.93,2020-03-15,0.86,2020-06-21
United States,2.27,0.92,2020-03-18,1.04,2020-06-21
