country,initial_r_0,post_mitigation_r,inflection_date
Algeria,2.26,0.71,2020-03-15
Argentina,1.23,1.02,2020-03-20
Austria,1.96,0.70,2020-03-14
Bangladesh,1.29,1.06,2020-03-29
Belgium,2.51,0.80,2020-03-18
Brazil,1.42,1.07,2020-04-17
Bulgaria,0.85,0.95,2020-03-11
Canada,1.93,0.92,2020-03-26
Chile,1.73,1.08,2020-03-21
China,2.31,0.64,2020-01-24
Colombia,1.98,1.04,2020-03-20
Croatia,1.35,0.79,2020-03-20
Cyprus,1.07,0.43,2020-03-12
Czechia,2.17,0.56,2020-03-14
Denmark,2.11,0.74,2020-03-11
Dominican Republic,2.17,0.83,2020-03-16
Ecuador,1.48,0.89,2020-04-13
Egypt,1.42,1.00,2020-03-21
Estonia,2.14,0.45,2020-03-12
Finland,1.99,0.82,2020-03-23
France,1.69,0.79,2020-03-17
Germany,2.19,0.82,2020-03-16
Greece,1.77,0.66,2020-03-07
Hungary,1.81,0.84,2020-03-25
Iceland,1.37,0.43,2020-03-21
India,1.28,1.04,2020-04-20
Indonesia,1.51,0.93,2020-03-16
Iran,2.37,0.87,2020-02-25
Ireland,1.62,0.75,2020-03-30
Israel,2.34,0.65,2020-03-17
Italy,2.45,0.90,2020-03-01
Japan,1.20,0.94,2020-03-23
Latvia,1.64,0.51,2020-03-12
Lithuania,1.53,0.62,2020-03-12
Luxembourg,1.44,0.61,2020-03-16
Malaysia,0.90,0.46,2020-03-20
Malta,1.55,0.40,2020-03-07
Mexico,1.97,1.11,2020-04-01
Moldova,1.19,1.00,2020-03-21
Morocco,1.67,0.64,2020-03-15
Netherlands,2.42,0.85,2020-03-10
Nigeria,1.25,0.92,2020-04-16
Norway,1.71,0.64,2020-03-17
Pakistan,1.50,1.00,2020-04-09
Panama,1.31,0.90,2020-03-20
Peru,1.67,1.03,2020-04-08
Philippines,1.52,0.89,2020-03-15
Poland,1.67,0.92,2020-03-20
Portugal,2.37,0.80,2020-03-12
Romania,1.82,0.88,2020-03-14
Russia,1.43,0.95,2020-04-19
Saudi Arabia,1.59,1.02,2020-03-20
Serbia,1.22,0.77,2020-03-24
Slovakia,2.07,0.54,2020-03-28
Slovenia,1.43,0.65,2020-03-20
South Africa,1.55,1.12,2020-03-27
South Korea,1.80,0.78,2020-02-22
Spain,3.21,0.83,2020-03-05
Sweden,1.85,0.91,2020-03-20
Switzerland,2.11,0.76,2020-03-12
Turkey,1.68,0.74,2020-03-25
Ukraine,1.38,1.07,2020-03-24
United Kingdom,2.43,0.90,2020-03-15
