country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.54,0.82,2020-03-14,0.99,2020-07-21
Argentina,1.26,1.13,2020-03-17,1.08,2020-07-21
Australia,1.43,0.64,2020-03-23,1.10,2020-07-21
Austria,1.96,0.67,2020-03-13,1.00,2020-07-21
Bangladesh,1.72,1.10,2020-03-27,0.96,2020-07-21
Belarus,1.35,1.01,2020-04-06,1.00,2020-07-21
Belgium,2.84,0.75,2020-03-16,0.91,2020-07-21
Bolivia,1.55,1.09,2020-04-05,0.96,2020-07-21
Brazil,1.49,1.04,2020-04-19,0.99,2020-07-21
Bulgaria,1.59,1.03,2020-03-11,0.99,2020-07-21
Canada,1.98,0.86,2020-03-27,1.00,2020-07-21
Chile,1.40,0.90,2020-05-20,0.85,2020-07-21
China,3.16,0.60,2020-01-19,0.96,2020-07-21
Colombia,2.30,1.18,2020-03-18,0.98,2020-07-21
Croatia,1.46,0.76,2020-03-20,1.09,2020-07-21
Cuba,1.20,0.66,2020-04-08,0.93,2020-07-21
Cyprus,1.54,0.45,2020-03-12,0.96,2020-07-21
Czechia,2.29,0.52,2020-03-14,1.06,2020-07-21
Denmark,2.30,0.70,2020-03-10,1.00,2020-07-21
Dominican Republic,2.54,0.88,2020-03-15,0.98,2020-07-21
Ecuador,1.64,0.85,2020-04-11,0.94,2020-07-21
Egypt,1.76,1.08,2020-03-20,0.95,2020-07-21
Estonia,2.29,0.42,2020-03-11,0.88,2020-07-21
Finland,1.74,0.67,2020-03-27,1.00,2020-07-21
France,1.73,0.79,2020-03-16,0.92,2020-07-21
Germany,2.37,0.78,2020-03-16,0.97,2020-07-21
Greece,1.65,0.65,2020-03-08,0.97,2020-07-21
Honduras,1.37,0.99,2020-04-06,0.98,2020-07-21
Hungary,1.94,0.81,2020-03-24,1.00,2020-07-21
Iceland,1.38,0.45,2020-03-21,0.94,2020-07-21
India,1.43,1.08,2020-04-20,1.09,2020-07-21
Indonesia,1.67,1.01,2020-03-15,1.05,2020-07-21
Iran,2.46,0.89,2020-02-24,0.94,2020-07-21
Ireland,1.71,0.71,2020-03-29,0.96,2020-07-21
Israel,2.93,0.74,2020-03-18,0.98,2020-07-21
Italy,2.72,0.88,2020-02-28,0.92,2020-07-21
Japan,1.29,0.79,2020-04-01,1.08,2020-07-21
Kuwait,2.17,0.85,2020-04-16,1.08,2020-07-21
Latvia,1.41,0.50,2020-03-30,0.91,2020-07-21
Lithuania,1.95,0.79,2020-03-12,0.97,2020-07-21
Luxembourg,1.80,0.59,2020-03-18,1.10,2020-07-21
Malaysia,2.20,0.61,2020-03-08,0.87,2020-07-21
Malta,1.69,0.62,2020-03-20,1.01,2020-07-21
Mexico,2.30,1.06,2020-04-01,0.98,2020-07-21
Moldova,1.78,1.04,2020-03-17,0.97,2020-07-21
Morocco,2.37,0.69,2020-03-13,1.00,2020-07-21
Netherlands,2.67,0.81,2020-03-10,0.90,2020-07-21
Nigeria,1.62,0.95,2020-04-13,0.97,2020-07-21
Norway,1.74,0.58,2020-03-17,0.91,2020-07-21
Pakistan,1.40,0.89,2020-05-14,0.91,2020-07-21
Panama,1.50,0.98,2020-03-19,0.96,2020-07-21
Peru,2.10,1.04,2020-04-02,0.97,2020-07-21
Philippines,1.13,0.95,2020-03-15,1.08,2020-07-21
Poland,1.62,0.96,2020-03-19,0.97,2020-07-21
Portugal,2.23,0.81,2020-03-11,0.98,2020-07-21
Romania,1.80,0.86,2020-03-15,0.96,2020-07-21
Russia,1.65,0.94,2020-04-19,0.96,2020-07-21
Saudi Arabia,2.64,1.09,2020-03-25,0.94,2020-07-21
Serbia,1.53,0.77,2020-03-24,0.97,2020-07-21
Slovakia,1.57,0.52,2020-03-28,1.00,2020-07-21
Slovenia,1.73,0.66,2020-03-20,1.01,2020-07-21
South Africa,2.52,1.13,2020-03-28,1.04,2020-07-21
South Korea,2.22,0.82,2020-02-22,0.99,2020-07-21
Spain,3.41,0.81,2020-03-05,0.92,2020-07-21
Sweden,2.11,0.95,2020-03-17,0.87,2020-07-21
Switzerland,2.30,0.71,2020-03-10,0.97,2020-07-21
Turkey,2.65,0.74,2020-03-21,0.97,2020-07-21
Ukraine,1.66,0.98,2020-03-23,0.98,2020-07-21
United Arab Emirates,1.92,0.80,2020-04-04,1.02,2020-07-21
United Kingdom,2.77,0.91,2020-03-13,0.90,2020-07-21
United States,2.31,0.92,2020-03-16,0.99,2020-07-21
