country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.18,0.83,2020-03-13,0.99,2020-05-26
Argentina,1.22,1.06,2020-03-18,1.07,2020-05-26
Australia,1.10,0.72,2020-03-23,0.74,2020-05-26
Austria,1.89,0.70,2020-03-14,0.87,2020-05-26
Bangladesh,1.29,1.12,2020-03-28,1.17,2020-05-26
Belarus,1.21,0.97,2020-04-06,0.97,2020-05-26
Belgium,2.58,0.82,2020-03-18,0.98,2020-05-26
Bolivia,1.20,1.03,2020-04-05,1.04,2020-05-26
Brazil,1.41,1.06,2020-04-19,1.06,2020-05-26
Bulgaria,1.33,1.01,2020-03-11,1.10,2020-05-26
Canada,1.88,0.90,2020-03-28,0.91,2020-05-26
Chile,1.73,1.14,2020-03-21,1.19,2020-05-26
China,2.67,0.64,2020-01-21,0.75,2020-05-26
Colombia,2.02,1.08,2020-03-18,1.15,2020-05-26
Croatia,1.42,0.81,2020-03-20,0.97,2020-05-26
Cuba,1.05,0.70,2020-04-08,0.71,2020-05-26
Cyprus,1.07,0.37,2020-03-12,0.51,2020-05-26
Czechia,2.12,0.59,2020-03-14,0.76,2020-05-26
Denmark,2.11,0.76,2020-03-11,0.92,2020-05-26
Dominican Republic,2.29,0.85,2020-03-14,1.00,2020-05-26
Ecuador,1.48,0.90,2020-04-13,0.91,2020-05-26
Egypt,1.44,1.04,2020-03-20,1.04,2020-05-26
Estonia,2.29,0.42,2020-03-11,0.57,2020-05-26
Finland,1.96,0.79,2020-03-25,0.95,2020-05-26
France,1.69,0.81,2020-03-18,0.97,2020-05-26
Germany,2.18,0.82,2020-03-17,0.98,2020-05-26
Greece,1.67,0.70,2020-03-08,0.87,2020-05-26
Honduras,0.98,1.00,2020-04-06,1.01,2020-05-26
Hungary,1.84,0.86,2020-03-25,1.00,2020-05-26
Iceland,1.50,0.34,2020-03-21,0.48,2020-05-26
India,1.29,1.07,2020-04-20,1.14,2020-05-26
Indonesia,1.42,0.98,2020-03-15,0.98,2020-05-26
Iran,2.38,0.89,2020-02-25,1.01,2020-05-26
Ireland,1.61,0.74,2020-03-31,0.91,2020-05-26
Israel,2.33,0.66,2020-03-17,0.83,2020-05-26
Italy,2.53,0.91,2020-03-01,1.05,2020-05-26
Japan,1.27,0.83,2020-03-29,0.84,2020-05-26
Kuwait,1.48,1.03,2020-04-04,1.04,2020-05-26
Latvia,1.48,0.37,2020-03-12,0.52,2020-05-26
Lithuania,1.73,0.77,2020-03-12,0.94,2020-05-26
Luxembourg,1.70,0.67,2020-03-18,0.85,2020-05-26
Malaysia,0.99,0.54,2020-03-19,0.72,2020-05-26
Malta,1.49,0.30,2020-03-07,0.44,2020-05-26
Mexico,1.91,1.16,2020-04-01,1.16,2020-05-26
Moldova,1.28,1.03,2020-03-19,1.12,2020-05-26
Morocco,1.63,0.71,2020-03-14,0.72,2020-05-26
Netherlands,2.46,0.86,2020-03-10,1.01,2020-05-26
Nigeria,1.26,0.95,2020-04-15,1.06,2020-05-26
Norway,1.75,0.64,2020-03-17,0.82,2020-05-26
Pakistan,1.50,1.02,2020-04-09,1.11,2020-05-26
Panama,1.33,0.92,2020-03-19,1.04,2020-05-26
Peru,1.69,1.09,2020-04-05,1.09,2020-05-26
Philippines,1.60,0.90,2020-03-15,0.90,2020-05-26
Poland,1.70,0.92,2020-03-20,1.05,2020-05-26
Portugal,2.30,0.82,2020-03-12,0.97,2020-05-26
Romania,1.79,0.87,2020-03-15,1.01,2020-05-26
Russia,1.47,0.96,2020-04-17,1.07,2020-05-26
Saudi Arabia,1.57,1.05,2020-03-19,1.13,2020-05-26
Serbia,1.25,0.76,2020-03-24,0.92,2020-05-26
Slovakia,2.09,0.53,2020-03-28,0.70,2020-05-26
Slovenia,1.60,0.69,2020-03-20,0.87,2020-05-26
South Africa,1.59,1.18,2020-03-26,1.19,2020-05-26
South Korea,1.84,0.83,2020-02-22,0.95,2020-05-26
Spain,3.25,0.85,2020-03-05,1.00,2020-05-26
Sweden,1.88,0.93,2020-03-20,0.93,2020-05-26
Switzerland,2.12,0.78,2020-03-12,0.94,2020-05-26
Turkey,1.79,0.77,2020-03-23,0.79,2020-05-26
Ukraine,1.49,1.03,2020-03-24,1.12,2020-05-26
United Arab Emirates,1.21,0.89,2020-04-06,0.91,2020-05-26
United Kingdom,2.46,0.91,2020-03-15,1.04,2020-05-26
