country,initial_r_0,post_mitigation_r,inflection_date
Algeria,2.30,0.75,2020-03-14
Argentina,1.23,1.04,2020-03-18
Austria,1.91,0.69,2020-03-14
Bangladesh,1.27,1.11,2020-03-28
Belgium,2.57,0.82,2020-03-18
Brazil,1.41,1.07,2020-04-19
Bulgaria,0.88,0.99,2020-03-11
Canada,1.87,0.90,2020-03-28
Chile,1.64,1.13,2020-03-21
China,2.67,0.64,2020-01-21
Colombia,2.03,1.08,2020-03-19
Croatia,1.44,0.81,2020-03-20
Cyprus,1.15,0.38,2020-03-12
Czechia,2.14,0.57,2020-03-14
Denmark,2.10,0.75,2020-03-11
Dominican Republic,2.29,0.85,2020-03-14
Ecuador,1.47,0.90,2020-04-13
Egypt,1.43,1.03,2020-03-20
Estonia,2.33,0.41,2020-03-11
Finland,1.97,0.80,2020-03-25
France,1.69,0.81,2020-03-18
Germany,2.18,0.82,2020-03-17
Greece,1.69,0.68,2020-03-08
Hungary,1.84,0.85,2020-03-25
Iceland,1.49,0.34,2020-03-21
India,1.28,1.05,2020-04-20
Indonesia,1.44,0.97,2020-03-15
Iran,2.37,0.88,2020-02-25
Ireland,1.61,0.74,2020-03-31
Israel,2.34,0.67,2020-03-17
Italy,2.52,0.91,2020-03-01
Japan,1.25,0.84,2020-03-29
Latvia,1.49,0.37,2020-03-12
Lithuania,1.37,0.63,2020-03-12
Luxembourg,1.35,0.61,2020-03-18
Malaysia,0.93,0.42,2020-03-19
Malta,1.59,0.35,2020-03-07
Mexico,1.91,1.15,2020-04-01
Moldova,1.24,1.02,2020-03-19
Morocco,1.67,0.64,2020-03-15
Netherlands,2.46,0.86,2020-03-10
Nigeria,1.25,0.95,2020-04-15
Norway,1.76,0.64,2020-03-17
Pakistan,1.49,1.03,2020-04-09
Panama,1.33,0.91,2020-03-19
Peru,1.69,1.06,2020-04-06
Philippines,1.59,0.89,2020-03-15
Poland,1.69,0.92,2020-03-20
Portugal,2.30,0.81,2020-03-12
Romania,1.79,0.87,2020-03-15
Russia,1.45,1.00,2020-04-17
Saudi Arabia,1.56,1.05,2020-03-19
Serbia,1.23,0.75,2020-03-24
Slovakia,2.08,0.53,2020-03-28
Slovenia,1.47,0.65,2020-03-20
South Africa,1.44,1.18,2020-03-26
South Korea,1.85,0.81,2020-02-22
Spain,3.25,0.85,2020-03-05
Sweden,1.88,0.92,2020-03-20
Switzerland,2.11,0.77,2020-03-12
Turkey,1.79,0.76,2020-03-23
Ukraine,1.48,1.03,2020-03-24
United Kingdom,2.45,0.91,2020-03-15
