country,initial_r_0,post_mitigation_r,inflection_date
Algeria,2.27,0.72,2020-03-14
Argentina,1.21,1.05,2020-03-20
Austria,1.96,0.70,2020-03-14
Bangladesh,1.27,1.11,2020-03-29
Belgium,2.52,0.81,2020-03-18
Brazil,1.42,1.11,2020-04-17
Bulgaria,0.80,0.96,2020-03-11
Canada,1.95,0.91,2020-03-26
Chile,1.64,1.13,2020-03-21
China,2.32,0.63,2020-01-24
Colombia,1.94,1.08,2020-03-20
Croatia,1.34,0.80,2020-03-20
Cyprus,1.07,0.43,2020-03-12
Czechia,2.15,0.57,2020-03-14
Denmark,2.11,0.75,2020-03-11
Dominican Republic,2.16,0.85,2020-03-15
Ecuador,1.50,0.90,2020-04-13
Egypt,1.43,1.01,2020-03-22
Estonia,2.13,0.45,2020-03-12
Finland,1.99,0.83,2020-03-23
France,1.70,0.80,2020-03-17
Germany,2.20,0.83,2020-03-16
Greece,1.75,0.67,2020-03-07
Hungary,1.82,0.84,2020-03-25
Iceland,1.38,0.43,2020-03-21
India,1.30,1.05,2020-04-20
Indonesia,1.49,0.95,2020-03-16
Iran,2.39,0.89,2020-02-25
Ireland,1.62,0.75,2020-03-30
Israel,2.33,0.66,2020-03-17
Italy,2.47,0.91,2020-03-01
Japan,1.22,0.94,2020-03-23
Latvia,1.61,0.49,2020-03-12
Lithuania,1.54,0.62,2020-03-12
Luxembourg,1.44,0.62,2020-03-16
Malaysia,0.88,0.46,2020-03-20
Malta,1.55,0.40,2020-03-07
Mexico,1.95,1.15,2020-04-01
Moldova,1.21,1.00,2020-03-21
Morocco,1.67,0.65,2020-03-15
Netherlands,2.43,0.86,2020-03-10
Nigeria,1.27,0.91,2020-04-16
Norway,1.72,0.64,2020-03-16
Pakistan,1.51,1.03,2020-04-09
Panama,1.32,0.91,2020-03-20
Peru,1.68,1.03,2020-04-08
Philippines,1.52,0.90,2020-03-15
Poland,1.67,0.92,2020-03-20
Portugal,2.36,0.80,2020-03-12
Romania,1.83,0.88,2020-03-15
Russia,1.44,0.98,2020-04-19
Saudi Arabia,1.55,1.05,2020-03-20
Serbia,1.23,0.77,2020-03-24
Slovakia,2.07,0.54,2020-03-28
Slovenia,1.45,0.65,2020-03-20
South Africa,1.48,1.18,2020-03-27
South Korea,1.81,0.80,2020-02-22
Spain,3.21,0.84,2020-03-05
Sweden,1.86,0.92,2020-03-20
Switzerland,2.13,0.77,2020-03-12
Turkey,1.69,0.75,2020-03-25
Ukraine,1.40,1.06,2020-03-24
United Kingdom,2.43,0.91,2020-03-15
