country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.51,0.77,2020-03-14,1.06,2020-07-02
Argentina,1.29,1.10,2020-03-17,1.09,2020-07-02
Australia,1.44,0.75,2020-03-23,0.98,2020-07-02
Austria,1.84,0.72,2020-03-15,1.05,2020-07-02
Bangladesh,1.60,1.08,2020-03-28,1.07,2020-07-02
Belarus,1.33,1.01,2020-04-06,1.01,2020-07-02
Belgium,2.60,0.81,2020-03-18,0.92,2020-07-02
Bolivia,1.42,1.13,2020-04-05,1.10,2020-07-02
Brazil,1.49,1.04,2020-04-20,1.00,2020-07-02
Bulgaria,1.53,1.03,2020-03-11,1.09,2020-07-02
Canada,1.94,0.89,2020-03-29,0.96,2020-07-02
Chile,1.40,0.97,2020-05-17,0.91,2020-07-02
China,2.98,0.66,2020-01-20,0.77,2020-07-02
Colombia,2.14,1.15,2020-03-20,1.12,2020-07-02
Croatia,1.56,0.76,2020-03-20,1.09,2020-07-02
Cuba,1.25,0.67,2020-04-08,0.88,2020-07-02
Cyprus,1.37,0.48,2020-03-12,0.95,2020-07-02
Czechia,2.19,0.61,2020-03-14,1.05,2020-07-02
Denmark,2.17,0.75,2020-03-11,0.96,2020-07-02
Dominican Republic,2.53,0.87,2020-03-15,1.13,2020-07-02
Ecuador,1.61,0.88,2020-04-12,0.98,2020-07-02
Egypt,1.66,1.09,2020-03-20,1.09,2020-07-02
Estonia,2.27,0.43,2020-03-11,0.78,2020-07-02
Finland,1.79,0.72,2020-03-28,0.94,2020-07-02
France,1.69,0.81,2020-03-18,0.93,2020-07-02
Germany,2.22,0.80,2020-03-18,1.02,2020-07-02
Greece,1.59,0.71,2020-03-08,0.93,2020-07-02
Honduras,1.26,1.03,2020-04-06,1.11,2020-07-02
Hungary,1.88,0.85,2020-03-25,1.04,2020-07-02
Iceland,1.41,0.47,2020-03-21,0.86,2020-07-02
India,1.36,1.10,2020-04-20,1.10,2020-07-02
Indonesia,1.61,1.02,2020-03-15,1.06,2020-07-02
Iran,2.45,0.88,2020-02-25,1.01,2020-07-02
Ireland,1.69,0.73,2020-03-31,0.91,2020-07-02
Israel,2.65,0.79,2020-03-18,1.02,2020-07-02
Italy,2.54,0.91,2020-03-02,0.95,2020-07-02
Japan,1.31,0.81,2020-03-31,1.01,2020-07-02
Kuwait,1.75,0.89,2020-04-18,0.88,2020-07-02
Latvia,1.32,0.54,2020-03-30,0.91,2020-07-02
Lithuania,1.78,0.80,2020-03-12,1.02,2020-07-02
Luxembourg,1.89,0.67,2020-03-18,0.87,2020-07-02
Malaysia,2.10,0.59,2020-03-07,1.06,2020-07-02
Malta,1.67,0.70,2020-03-20,0.99,2020-07-02
Mexico,2.13,1.10,2020-04-01,1.03,2020-07-02
Moldova,1.47,1.04,2020-03-17,1.03,2020-07-02
Morocco,2.19,0.72,2020-03-14,0.94,2020-07-02
Netherlands,2.48,0.85,2020-03-11,0.97,2020-07-02
Nigeria,1.48,0.96,2020-04-13,1.05,2020-07-02
Norway,1.72,0.64,2020-03-17,0.85,2020-07-02
Pakistan,1.65,1.06,2020-04-09,1.02,2020-07-02
Panama,1.43,0.99,2020-03-19,1.10,2020-07-02
Peru,2.00,1.05,2020-04-03,1.01,2020-07-02
Philippines,1.13,0.95,2020-03-15,1.09,2020-07-02
Poland,1.58,0.98,2020-03-20,1.08,2020-07-02
Portugal,2.18,0.83,2020-03-11,1.02,2020-07-02
Romania,1.70,0.92,2020-03-15,1.11,2020-07-02
Russia,1.61,0.96,2020-04-20,0.99,2020-07-02
Saudi Arabia,2.28,1.07,2020-03-22,1.06,2020-07-02
Serbia,1.50,0.83,2020-03-24,1.07,2020-07-02
Slovakia,1.77,0.60,2020-03-28,0.96,2020-07-02
Slovenia,1.76,0.70,2020-03-20,0.92,2020-07-02
South Africa,2.22,1.11,2020-03-27,1.10,2020-07-02
South Korea,2.09,0.86,2020-02-22,0.99,2020-07-02
Spain,3.25,0.85,2020-03-06,0.95,2020-07-02
Sweden,1.97,0.94,2020-03-19,0.90,2020-07-02
Switzerland,2.14,0.76,2020-03-13,0.95,2020-07-02
Turkey,2.50,0.75,2020-03-21,1.04,2020-07-02
Ukraine,1.56,1.03,2020-03-23,1.04,2020-07-02
United Arab Emirates,1.69,0.80,2020-04-05,1.00,2020-07-02
United Kingdom,2.63,0.93,2020-03-15,0.98,2020-07-02
United States,2.29,0.92,2020-03-18,1.10,2020-07-02
