country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.18,0.83,2020-03-13,0.99,2020-05-27
Argentina,1.21,1.07,2020-03-18,1.08,2020-05-27
Australia,1.10,0.72,2020-03-23,0.74,2020-05-27
Austria,1.89,0.70,2020-03-14,0.88,2020-05-27
Bangladesh,1.29,1.12,2020-03-28,1.18,2020-05-27
Belarus,1.21,0.97,2020-04-06,0.97,2020-05-27
Belgium,2.58,0.82,2020-03-18,0.98,2020-05-27
Bolivia,1.19,1.03,2020-04-05,1.04,2020-05-27
Brazil,1.41,1.07,2020-04-19,1.07,2020-05-27
Bulgaria,1.33,1.01,2020-03-11,1.11,2020-05-27
Canada,1.88,0.90,2020-03-28,0.99,2020-05-27
Chile,1.73,1.14,2020-03-21,1.19,2020-05-27
China,2.67,0.64,2020-01-21,0.74,2020-05-27
Colombia,2.00,1.09,2020-03-18,1.16,2020-05-27
Croatia,1.43,0.81,2020-03-20,0.97,2020-05-27
Cuba,1.05,0.70,2020-04-08,0.72,2020-05-27
Cyprus,1.08,0.37,2020-03-12,0.52,2020-05-27
Czechia,2.13,0.59,2020-03-14,0.76,2020-05-27
Denmark,2.11,0.76,2020-03-11,0.93,2020-05-27
Dominican Republic,2.29,0.86,2020-03-14,1.00,2020-05-27
Ecuador,1.48,0.90,2020-04-13,0.91,2020-05-27
Egypt,1.44,1.04,2020-03-19,1.05,2020-05-27
Estonia,2.28,0.42,2020-03-11,0.57,2020-05-27
Finland,1.97,0.79,2020-03-25,0.95,2020-05-27
France,1.69,0.81,2020-03-18,0.97,2020-05-27
Germany,2.18,0.82,2020-03-17,0.98,2020-05-27
Greece,1.68,0.69,2020-03-08,0.87,2020-05-27
Honduras,1.00,1.00,2020-04-06,1.01,2020-05-27
Hungary,1.84,0.86,2020-03-25,1.01,2020-05-27
Iceland,1.50,0.34,2020-03-21,0.48,2020-05-27
India,1.29,1.08,2020-04-20,1.15,2020-05-27
Indonesia,1.40,0.99,2020-03-15,0.99,2020-05-27
Iran,2.38,0.89,2020-02-25,1.01,2020-05-27
Ireland,1.61,0.75,2020-03-31,0.92,2020-05-27
Israel,2.33,0.66,2020-03-17,0.83,2020-05-27
Italy,2.53,0.91,2020-03-01,1.05,2020-05-27
Japan,1.27,0.83,2020-03-29,0.85,2020-05-27
Kuwait,1.47,1.03,2020-04-04,1.04,2020-05-27
Latvia,1.52,0.38,2020-03-12,0.53,2020-05-27
Lithuania,1.71,0.77,2020-03-12,0.94,2020-05-27
Luxembourg,1.70,0.67,2020-03-18,0.85,2020-05-27
Malaysia,1.00,0.54,2020-03-19,0.72,2020-05-27
Malta,1.54,0.45,2020-03-07,0.64,2020-05-27
Mexico,1.92,1.16,2020-04-01,1.16,2020-05-27
Moldova,1.27,1.03,2020-03-19,1.12,2020-05-27
Morocco,1.63,0.71,2020-03-14,0.73,2020-05-27
Netherlands,2.46,0.86,2020-03-10,1.01,2020-05-27
Nigeria,1.26,0.95,2020-04-15,1.06,2020-05-27
Norway,1.75,0.64,2020-03-17,0.82,2020-05-27
Pakistan,1.50,1.02,2020-04-09,1.11,2020-05-27
Panama,1.34,0.91,2020-03-19,1.04,2020-05-27
Peru,1.69,1.10,2020-04-05,1.10,2020-05-27
Philippines,1.59,0.90,2020-03-15,0.90,2020-05-27
Poland,1.71,0.92,2020-03-20,1.04,2020-05-27
Portugal,2.30,0.82,2020-03-12,0.98,2020-05-27
Romania,1.79,0.87,2020-03-15,1.01,2020-05-27
Russia,1.47,0.97,2020-04-18,1.08,2020-05-27
Saudi Arabia,1.56,1.06,2020-03-19,1.14,2020-05-27
Serbia,1.25,0.76,2020-03-24,0.92,2020-05-27
Slovakia,2.09,0.53,2020-03-28,0.70,2020-05-27
Slovenia,1.61,0.69,2020-03-20,0.87,2020-05-27
South Africa,1.60,1.18,2020-03-26,1.19,2020-05-27
South Korea,1.84,0.83,2020-02-22,0.95,2020-05-27
Spain,3.25,0.85,2020-03-05,1.00,2020-05-27
Sweden,1.87,0.94,2020-03-20,0.94,2020-05-27
Switzerland,2.11,0.77,2020-03-12,0.94,2020-05-27
Turkey,1.79,0.77,2020-03-23,0.79,2020-05-27
Ukraine,1.49,1.03,2020-03-24,1.12,2020-05-27
United Arab Emirates,1.22,0.89,2020-04-06,0.91,2020-05-27
United Kingdom,2.46,0.91,2020-03-15,1.04,2020-05-27
