country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.27,0.81,2020-03-13,1.03,2020-06-08
Argentina,1.17,1.09,2020-03-17,1.09,2020-06-08
Australia,1.11,0.70,2020-03-23,0.86,2020-06-08
Austria,1.82,0.70,2020-03-14,0.88,2020-06-08
Bangladesh,1.33,1.13,2020-03-28,1.14,2020-06-08
Belarus,1.20,0.97,2020-04-06,0.97,2020-06-08
Belgium,2.64,0.83,2020-03-18,0.99,2020-06-08
Bolivia,1.16,1.13,2020-04-05,1.13,2020-06-08
Brazil,1.42,1.05,2020-04-19,1.05,2020-06-08
Bulgaria,1.47,1.02,2020-03-11,1.09,2020-06-08
Canada,1.91,0.90,2020-03-28,1.03,2020-06-08
Chile,1.79,1.19,2020-03-21,1.17,2020-06-08
China,2.89,0.63,2020-01-20,0.72,2020-06-08
Colombia,1.88,1.14,2020-03-18,1.14,2020-06-08
Croatia,1.52,0.74,2020-03-20,0.92,2020-06-08
Cuba,1.08,0.64,2020-04-08,0.80,2020-06-08
Cyprus,1.31,0.36,2020-03-12,0.51,2020-06-08
Czechia,2.14,0.58,2020-03-14,0.76,2020-06-08
Denmark,2.11,0.76,2020-03-11,0.93,2020-06-08
Dominican Republic,2.26,0.87,2020-03-14,1.00,2020-06-08
Ecuador,1.48,0.87,2020-04-13,1.00,2020-06-08
Egypt,1.42,1.08,2020-03-20,1.08,2020-06-08
Estonia,2.28,0.37,2020-03-11,0.52,2020-06-08
Finland,1.77,0.73,2020-03-27,0.91,2020-06-08
France,1.71,0.81,2020-03-18,0.97,2020-06-08
Germany,2.18,0.81,2020-03-17,0.98,2020-06-08
Greece,1.48,0.70,2020-03-08,0.87,2020-06-08
Honduras,0.97,1.01,2020-04-06,1.08,2020-06-08
Hungary,1.82,0.87,2020-03-25,1.01,2020-06-08
Iceland,1.50,0.33,2020-03-21,0.47,2020-06-08
India,1.26,1.15,2020-04-20,1.16,2020-06-08
Indonesia,1.41,1.02,2020-03-15,1.02,2020-06-08
Iran,2.38,0.87,2020-02-25,1.03,2020-06-08
Ireland,1.60,0.72,2020-03-31,0.90,2020-06-08
Israel,2.36,0.68,2020-03-16,0.87,2020-06-08
Italy,2.58,0.89,2020-03-02,0.99,2020-06-08
Japan,1.26,0.84,2020-03-31,0.94,2020-06-08
Kuwait,1.43,1.04,2020-04-04,1.10,2020-06-08
Latvia,1.54,0.37,2020-03-12,0.52,2020-06-08
Lithuania,1.70,0.79,2020-03-12,0.96,2020-06-08
Luxembourg,1.77,0.67,2020-03-18,0.85,2020-06-08
Malaysia,1.90,0.49,2020-03-06,0.66,2020-06-08
Malta,1.55,0.70,2020-03-07,0.82,2020-06-08
Mexico,1.96,1.13,2020-04-01,1.13,2020-06-08
Moldova,1.33,1.03,2020-03-19,1.11,2020-06-08
Morocco,1.74,0.65,2020-03-14,0.81,2020-06-08
Netherlands,2.42,0.85,2020-03-11,1.01,2020-06-08
Nigeria,1.24,1.00,2020-04-13,1.09,2020-06-08
Norway,1.73,0.62,2020-03-17,0.80,2020-06-08
Pakistan,1.45,1.15,2020-04-09,1.16,2020-06-08
Panama,1.27,0.96,2020-03-19,1.07,2020-06-08
Peru,1.74,1.06,2020-04-05,1.09,2020-06-08
Philippines,1.59,0.90,2020-03-15,1.02,2020-06-08
Poland,1.62,0.93,2020-03-20,1.05,2020-06-08
Portugal,2.10,0.84,2020-03-11,0.99,2020-06-08
Romania,1.72,0.83,2020-03-15,0.98,2020-06-08
Russia,1.47,1.00,2020-04-20,1.05,2020-06-08
Saudi Arabia,1.64,1.10,2020-03-19,1.13,2020-06-08
Serbia,1.37,0.72,2020-03-24,0.90,2020-06-08
Slovakia,2.32,0.48,2020-03-28,0.65,2020-06-08
Slovenia,1.68,0.68,2020-03-20,0.86,2020-06-08
South Africa,1.72,1.19,2020-03-26,1.19,2020-06-08
South Korea,1.83,0.84,2020-02-22,0.94,2020-06-08
Spain,3.16,0.81,2020-03-06,0.97,2020-06-08
Sweden,1.89,0.91,2020-03-20,1.00,2020-06-08
Switzerland,2.07,0.74,2020-03-13,0.92,2020-06-08
Turkey,1.83,0.78,2020-03-22,0.93,2020-06-08
Ukraine,1.54,1.01,2020-03-24,1.09,2020-06-08
United Arab Emirates,1.21,0.86,2020-04-06,0.99,2020-06-08
United Kingdom,2.47,0.92,2020-03-15,0.93,2020-06-08
United States,2.27,0.91,2020-03-18,1.02,2020-06-08
