date,actual_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,1,,,
2020-03-20,2,,,
2020-03-21,1,,,
2020-03-22,1,,,
2020-03-23,5,,,
2020-03-24,2,,,
2020-03-25,7,,,
2020-03-26,2,,,
2020-03-27,6,,,
2020-03-28,0,,,
2020-03-29,7,,,
2020-03-30,2,,,
2020-03-31,33,,,
2020-04-01,16,,,
2020-04-02,27,,,
2020-04-03,,31,27,36
2020-04-04,,36,31,43
2020-04-05,,43,35,55
2020-04-06,,49,38,66
2020-04-07,,55,39,80
2020-04-08,,61,39,96
2020-04-09,,65,35,113
2020-04-10,,69,30,132
2020-04-11,,71,23,150
2020-04-12,,72,15,165
2020-04-13,,71,8,175
2020-04-14,,69,2,179
2020-04-15,,65,0,176
2020-04-16,,61,0,168
2020-04-17,,55,0,154
2020-04-18,,50,0,139
2020-04-19,,44,0,123
2020-04-20,,39,0,107
2020-04-21,,35,0,93
2020-04-22,,31,0,81
2020-04-23,,27,0,70
2020-04-24,,24,0,62
2020-04-25,,21,0,55
2020-04-26,,19,1,48
2020-04-27,,17,1,43
2020-04-28,,15,1,38
2020-04-29,,13,0,33
2020-04-30,,12,1,29
2020-05-01,,10,0,25
2020-05-02,,9,0,22
2020-05-03,,8,0,19
2020-05-04,,7,0,17
2020-05-05,,7,1,16
2020-05-06,,6,1,14
2020-05-07,,5,0,11
2020-05-08,,5,1,11
2020-05-09,,5,1,10
2020-05-10,,4,1,8
2020-05-11,,4,1,8
2020-05-12,,3,0,6
2020-05-13,,3,1,6
2020-05-14,,3,1,5
2020-05-15,,3,1,5
2020-05-16,,2,0,4
2020-05-17,,2,0,3
2020-05-18,,2,0,3
2020-05-19,,2,1,3
2020-05-20,,2,1,3
2020-05-21,,2,1,3
2020-05-22,,2,1,2
2020-05-23,,2,1,2
2020-05-24,,2,1,2
2020-05-25,,2,1,2
2020-05-26,,2,1,2
2020-05-27,,2,1,2
2020-05-28,,1,0,2
2020-05-29,,1,0,2
2020-05-30,,1,0,2
2020-05-31,,1,0,2
2020-06-01,,1,0,1
2020-06-02,,1,0,1
2020-06-03,,1,0,1
2020-06-04,,1,0,1
2020-06-05,,1,0,1
2020-06-06,,1,0,1
2020-06-07,,1,0,1
2020-06-08,,1,0,1
2020-06-09,,1,0,1
2020-06-10,,1,0,1
2020-06-11,,1,0,1
2020-06-12,,1,0,1
2020-06-13,,1,0,1
2020-06-14,,1,0,1
2020-06-15,,1,0,1
2020-06-16,,1,0,1
2020-06-17,,1,0,1
2020-06-18,,1,0,1
2020-06-19,,1,0,1
2020-06-20,,1,0,1
2020-06-21,,1,0,1
2020-06-22,,1,0,1
2020-06-23,,1,0,1
2020-06-24,,1,0,1
2020-06-25,,1,0,1
2020-06-26,,1,0,1
2020-06-27,,0,0,0
2020-06-28,,0,0,0
2020-06-29,,0,0,0
2020-06-30,,0,0,0
