date,actual_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,1,,,
2020-03-21,0,,,
2020-03-22,4,,,
2020-03-23,4,,,
2020-03-24,2,,,
2020-03-25,4,,,
2020-03-26,10,,,
2020-03-27,10,,,
2020-03-28,9,,,
2020-03-29,4,,,
2020-03-30,8,,,
2020-03-31,33,,,
2020-04-01,33,,,
2020-04-02,32,,,
2020-04-03,,42,38,48
2020-04-04,,50,43,60
2020-04-05,,60,49,77
2020-04-06,,71,54,97
2020-04-07,,82,58,121
2020-04-08,,93,60,147
2020-04-09,,102,58,175
2020-04-10,,110,55,201
2020-04-11,,115,49,224
2020-04-12,,117,41,242
2020-04-13,,117,33,255
2020-04-14,,114,25,261
2020-04-15,,109,19,258
2020-04-16,,102,14,248
2020-04-17,,94,10,233
2020-04-18,,85,8,213
2020-04-19,,76,6,191
2020-04-20,,68,6,171
2020-04-21,,61,5,153
2020-04-22,,54,4,136
2020-04-23,,48,4,121
2020-04-24,,43,4,107
2020-04-25,,38,3,94
2020-04-26,,34,3,84
2020-04-27,,30,3,74
2020-04-28,,26,2,64
2020-04-29,,23,2,56
2020-04-30,,21,3,50
2020-05-01,,19,3,44
2020-05-02,,17,3,39
2020-05-03,,15,3,34
2020-05-04,,13,2,30
2020-05-05,,12,2,27
2020-05-06,,11,3,24
2020-05-07,,10,3,21
2020-05-08,,9,3,18
2020-05-09,,8,2,16
2020-05-10,,7,2,14
2020-05-11,,7,2,13
2020-05-12,,6,2,11
2020-05-13,,6,2,11
2020-05-14,,5,2,9
2020-05-15,,5,2,8
2020-05-16,,5,2,8
2020-05-17,,4,2,7
2020-05-18,,4,2,6
2020-05-19,,4,2,6
2020-05-20,,4,2,6
2020-05-21,,3,1,4
2020-05-22,,3,2,4
2020-05-23,,3,2,4
2020-05-24,,3,2,4
2020-05-25,,3,2,4
2020-05-26,,3,2,3
2020-05-27,,3,2,3
2020-05-28,,2,1,2
2020-05-29,,2,1,2
2020-05-30,,2,1,3
2020-05-31,,2,1,3
2020-06-01,,2,1,3
2020-06-02,,2,1,3
2020-06-03,,2,1,2
2020-06-04,,2,1,2
2020-06-05,,2,1,2
2020-06-06,,2,1,2
2020-06-07,,2,1,2
2020-06-08,,2,1,2
2020-06-09,,2,1,2
2020-06-10,,2,1,2
2020-06-11,,2,1,2
2020-06-12,,2,1,2
2020-06-13,,2,1,2
2020-06-14,,2,1,2
2020-06-15,,2,1,2
2020-06-16,,2,1,2
2020-06-17,,1,0,2
2020-06-18,,1,0,1
2020-06-19,,1,0,1
2020-06-20,,1,0,1
2020-06-21,,1,0,1
2020-06-22,,1,0,1
2020-06-23,,1,0,1
2020-06-24,,1,0,1
2020-06-25,,1,0,1
2020-06-26,,1,0,1
2020-06-27,,1,0,1
2020-06-28,,1,0,1
2020-06-29,,1,0,1
2020-06-30,,1,0,1
