date,actual_deaths,predicted_deaths
2020-02-15,,0
2020-02-16,,0
2020-02-17,,0
2020-02-18,,0
2020-02-19,,0
2020-02-20,,0
2020-02-21,,0
2020-02-22,,0
2020-02-23,,0
2020-02-24,,0
2020-02-25,,0
2020-02-26,,0
2020-02-27,,0
2020-02-28,,0
2020-02-29,,0
2020-03-01,,0
2020-03-02,,0
2020-03-03,,0
2020-03-04,,0
2020-03-05,,0
2020-03-06,,0
2020-03-07,,0
2020-03-08,,1
2020-03-09,,2
2020-03-10,,2
2020-03-11,,2
2020-03-12,4,2
2020-03-13,0,2
2020-03-14,1,2
2020-03-15,0,3
2020-03-16,1,3
2020-03-17,5,5
2020-03-18,2,6
2020-03-19,5,7
2020-03-20,2,8
2020-03-21,4,8
2020-03-22,3,11
2020-03-23,0,12
2020-03-24,13,14
2020-03-25,13,15
2020-03-26,12,17
2020-03-27,13,19
2020-03-28,23,21
2020-03-29,22,22
2020-03-30,10,23
2020-03-31,,23
2020-04-01,,23
2020-04-02,,22
2020-04-03,,21
2020-04-04,,19
2020-04-05,,17
2020-04-06,,15
2020-04-07,,14
2020-04-08,,12
2020-04-09,,10
2020-04-10,,9
2020-04-11,,8
2020-04-12,,7
2020-04-13,,6
2020-04-14,,5
2020-04-15,,5
2020-04-16,,4
2020-04-17,,4
2020-04-18,,3
2020-04-19,,3
2020-04-20,,2
2020-04-21,,2
2020-04-22,,2
2020-04-23,,2
2020-04-24,,2
2020-04-25,,2
2020-04-26,,2
2020-04-27,,1
2020-04-28,,1
2020-04-29,,1
2020-04-30,,1
2020-05-01,,1
2020-05-02,,1
2020-05-03,,1
2020-05-04,,1
2020-05-05,,1
2020-05-06,,1
2020-05-07,,1
2020-05-08,,1
2020-05-09,,1
2020-05-10,,1
2020-05-11,,1
2020-05-12,,1
2020-05-13,,1
2020-05-14,,1
2020-05-15,,1
2020-05-16,,1
2020-05-17,,1
2020-05-18,,1
2020-05-19,,1
2020-05-20,,1
2020-05-21,,0
2020-05-22,,0
2020-05-23,,0
2020-05-24,,0
